Nacionalnosti,Ukupno,Katolici,Pravoslavci,Protestanti,Ostali kršćani,Muslimani,Židovi,Istočne religije,Ostali,Agnostici,ateisti,Neizjasnjeni,Nepoznato
Hrvati,3874321,3599038,16647,8042,10502,9647,231,1969,1924,27076,124811,69789,4645
Albanci,17513,7109,2,2,13,9594,0,2,22,43,273,414,39
Austrijanci,297,206,1,6,9,3,2,3,0,4,37,26,0
Bošnjaci,31479,317,293,16,23,27959,0,5,14,308,1613,904,27
Bugari,350,81,158,9,8,2,0,2,2,9,63,14,2
Crnogorci,4517,379,1822,21,36,159,0,9,14,266,1459,347,5
Česi,9641,8521,12,242,35,1,0,8,5,92,445,243,37
Mađari,14048,9396,78,3344,205,0,2,6,8,83,522,356,48
Makedonci,4138,494,2401,33,51,217,0,7,6,98,591,231,9
Nijemci,2965,1847,22,494,46,5,1,6,9,45,319,161,10
Poljaci,672,585,6,3,3,0,0,0,1,8,34,29,3
Romi,16975,8299,2381,62,177,5039,0,2,124,25,255,414,197
Rumunji,435,186,147,14,31,0,0,1,1,2,29,22,2
Rusi,1279,209,729,10,21,9,0,6,3,32,162,97,1
Rusini,1936,1692,89,11,25,0,0,0,0,18,75,25,1
Slovaci,4753,3159,12,1242,38,0,0,3,1,27,134,120,17
Slovenci,10517,8081,37,81,68,9,0,6,8,245,1469,473,40
Srbi,186633,2391,159530,350,657,24,6,72,56,2099,17385,3896,167
Talijani,17807,15083,26,26,57,6,3,25,17,233,1579,682,70
Turci,367,5,0,0,0,343,0,0,0,1,11,6,1
Ukrajinci,1878,1339,341,6,14,0,0,2,1,18,87,68,2
Vlasi,29,4,11,0,1,0,0,0,1,2,6,4,0
Židovi,509,14,3,1,3,0,266,2,2,30,147,39,2
Ostali,8052,1913,816,451,156,2361,10,272,83,169,1142,642,37
Regionalna pripadnost,27225,22331,124,35,72,60,3,30,60,486,2836,1110,78
Izjasnili se u smislu vjerske pripadnosti,10,182,232,2,187,12,31,6704,0,6,9,35,521,419,26
Neraspoređeno,731,72,27,5,25,3,1,27,108,106,276,77,4
Ne izjašnjavaju se,26763,2776,2,084,128,644,762,11,79,74,929,6,949,12297,30
Nepoznato,8877,1384,157,7,10,70,0,0,2,29,145,113,6960
